Rank,Movie,Release Date,Distributor,Genre,2019 Gross,Tickets Sold
405,Be Natural: The Untold Stor…, 2019-04-19,Zeitgeist,Documentary,"$114,238","12,471"
442,Fast Color, 2019-04-19,Lionsgate,Thriller/Suspense,"$76,916","8,396"
478,Under The Silver Lake, 2019-04-19,A24,Thriller/Suspense,"$46,083","5,030"
479,High on the Hog, 2019-04-19,Indican Pictures,Action,"$45,599","4,978"
583,Hagazussa: A Heathen’s Curse, 2019-04-19,Doppelganger Rele…,Horror,"$13,253","1,446"
613,Grass, 2019-04-19,Cinema Guild,Drama,"$8,969",979
390,Okko’s Inn, 2019-04-22,GKIDS,Adventure,"$134,787","14,714"
484,Carmine Street Guitars, 2019-04-24,Abramorama Films,Documentary,"$44,253","4,831"
1,Avengers: Endgame, 2019-04-26,Walt Disney,Action,"$858,373,000","93,708,843"
207,The White Crow, 2019-04-26,Sony Pictures Cla…,Drama,"$1,827,604","199,520"
352,Hesburgh, 2019-04-26,O’Malley Creadon …,Documentary,"$204,709","22,348"
554,"Phoenix, Oregon", 2019-04-26,Joma Films,Comedy,"$18,356","2,003"
595,If the Dancer Dances, 2019-04-26,Monument Releasing,Documentary,"$10,912","1,191"
640,Body at Brighton Rock, 2019-04-26,Magnolia Pictures,Thriller/Suspense,"$5,123",559
75,The Intruder, 2019-05-03,Sony Pictures,Thriller/Suspense,"$35,388,976","3,863,425"
82,Long Shot, 2019-05-03,Lionsgate,Romantic Comedy,"$30,316,271","3,309,636"
105,UglyDolls, 2019-05-03,STX Entertainment,Adventure,"$20,150,241","2,199,807"
262,Non-Fiction, 2019-05-03,IFC Films,Comedy,"$704,919","76,956"
265,El Chicano, 2019-05-03,Briarcliff Entert…,Drama,"$700,261","76,447"
282,Shadow, 2019-05-03,Well Go USA,Action,"$521,396","56,920"
325,Ask Dr. Ruth, 2019-05-03,Magnolia Pictures,Documentary,"$297,195","32,444"
339,Meeting Gorbachev, 2019-05-03,1091 Media,Documentary,"$251,837","27,493"
376,The River and the Wall, 2019-05-03,Gravitas Ventures,Documentary,"$150,816","16,464"
421,Always Miss You, 2019-05-03,China Lion Film D…,Drama,"$91,884","10,031"
445,Savage, 2019-05-03,Well Go USA,Thriller/Suspense,"$74,491","8,132"
653,Mother of a Day, 2019-05-04,Sumbadhat Product…,Comedy,"$3,919",427
17,Pokémon: Detective Pikachu, 2019-05-10,Warner Bros.,Adventure,"$144,105,346","15,732,025"
74,The Hustle, 2019-05-10,United Artists,Comedy,"$35,417,038","3,866,488"
122,Poms, 2019-05-10,STX Entertainment,Comedy,"$13,631,124","1,488,113"
161,Tolkien, 2019-05-10,Fox Searchlight,Drama,"$4,535,154","495,104"
165,The Biggest Little Farm, 2019-05-10,Neon,Documentary,"$4,367,816","476,835"
252,Student of the Year 2, 2019-05-10,FIP,Romantic Comedy,"$778,566","84,996"
412,Miss & Mrs. Cops, 2019-05-10,CJ Entertainment,Comedy,"$103,935","11,346"
469,Charlie Says, 2019-05-10,IFC Films,Drama,"$51,044","5,572"
515,Pasolini, 2019-05-10,Kino Lorber,Drama,"$30,757","3,357"
622,My Son, 2019-05-10,Cohen Media Group,Thriller/Suspense,"$6,984",762
430,The Third Wife, 2019-05-15,Film Movement,Drama,"$84,933","9,272"
14,John Wick: Chapter 3 — Para…, 2019-05-17,Lionsgate,Action,"$171,015,687","18,669,834"
96,A Dog’s Journey, 2019-05-17,Universal,Drama,"$22,782,371","2,487,158"
158,The Sun is Also a Star, 2019-05-17,Warner Bros.,Drama,"$4,950,029","540,396"
236,The Souvenir, 2019-05-17,A24,Drama,"$1,030,502","112,500"
299,De De Pyaar De, 2019-05-17,Yash Raj Films,Romantic Comedy,"$425,934","46,499"
315,Photograph, 2019-05-17,Amazon Studios,Drama,"$344,534","37,612"
381,Trial by Fire, 2019-05-17,Roadside Attractions,Drama,"$148,504","16,212"
417,Walking on Water, 2019-05-17,Kino Lorber,Documentary,"$98,358","10,737"
489,Aniara, 2019-05-17,Magnolia Pictures,Drama,"$40,124","4,380"
491,Zilla and Zoe, 2019-05-17,Indican Pictures,Comedy,"$39,003","4,257"
492,Shed of the Dead, 2019-05-17,Indican Pictures,Comedy,"$38,699","4,224"
646,Slaughterhouse Rulez, 2019-05-17,Sony Pictures,Action,"$4,665",509
655,The Wandering Soap Opera, 2019-05-17,Cinema Guild,Comedy,"$3,542",386
313,The Tomorrow Man, 2019-05-22,Bleecker Street,Drama,"$354,103","38,657"
8,Aladdin, 2019-05-24,Walt Disney,Adventure,"$355,559,216","38,816,508"
97,Booksmart, 2019-05-24,United Artists,Comedy,"$22,680,962","2,476,087"
113,BrightBurn, 2019-05-24,Sony Pictures,Horror,"$17,259,427","1,884,216"
178,Echo in the Canyon, 2019-05-24,Greenwich,Documentary,"$3,355,266","366,295"
253,The Church, 2019-05-24,Indican Pictures,Horror,"$771,645","84,240"
284,The Spy Behind Home Plate, 2019-05-24,The Ciesla Founda…,Documentary,"$519,525","56,716"
363,India’s Most Wanted, 2019-05-24,FIP,Thriller/Suspense,"$176,858","19,307"
372,Halston, 2019-05-24,1091 Media,Documentary,"$151,991","16,592"
425,The Lumber Baron, 2019-05-24,Indican Pictures,Drama,"$87,881","9,593"
432,Woodstock: Three Days That …, 2019-05-24,Self Distributed,Documentary,"$84,440","9,218"
454,Diamantino, 2019-05-24,Kino Lorber,,"$70,088","7,651"
480,The Proposal, 2019-05-24,Oscilloscope Pict…,Documentary,"$45,149","4,928"
614,That Pärt Feeling—The Unive…, 2019-05-24,Film Movement,Documentary,"$8,818",962
523,"Leaving Home, Coming Home: …", 2019-05-29,Greenwich,Documentary,"$27,073","2,955"
25,Godzilla: King of the Monsters, 2019-05-31,Warner Bros.,Action,"$110,500,138","12,063,334"
32,Rocketman, 2019-05-31,Paramount Pictures,Drama,"$96,368,160","10,520,541"
59,MA, 2019-05-31,Universal,Horror,"$45,896,028","5,010,483"
198,The Fall of the American Em…, 2019-05-31,Entertainment One,Comedy,"$2,178,148","237,789"
437,Mayday Life, 2019-05-31,China Lion Film D…,Concert/Perfor…,"$78,966","8,620"
591,Yomeddine, 2019-05-31,Strand,Adventure,"$11,308","1,234"
