Rank,Movie,Release Date,Distributor,Genre,2021 Gross,Tickets Sold
397,Opération Portugal, 2021-07-02,Sony Pictures,Comedy,"$1,096",120
84,Zola, 2021-06-30,A24,Drama,"$4,844,399","528,287"
340,Lydia Lunch: The War is Nev…, 2021-06-30,Kino Lorber,Documentary,"$12,948","1,411"
308,A Soldier’s Story 2: Return…, 2021-06-26,Indican Pictures,Action,"$21,543","2,349"
5,F9: The Fast Saga, 2021-06-25,Universal,Action,"$173,005,945","18,866,515"
142,Werewolves Within, 2021-06-25,IFC Films,Horror,"$575,783","62,789"
246,Lansky, 2021-06-25,Vertical Entertai…,Thriller/Suspense,"$61,030","6,655"
400,The Evil Next Door, 2021-06-25,Magnet Releasing,Horror,"$1,010",110
409,First Signal, 2021-06-25,The Ashton Times,Drama,$130,14
110,Queen Bees, 2021-06-18,Gravitas Ventures,Comedy,"$1,926,706","210,109"
139,The Sparks Brothers, 2021-06-18,Focus Features,Documentary,"$648,665","70,738"
179,Rita Moreno: Just a Girl Wh…, 2021-06-18,Roadside Attractions,Documentary,"$264,626","28,857"
209,Gaia, 2021-06-18,Neon,Horror,"$126,126","13,754"
238,Summer of 85, 2021-06-18,Music Box Films,Drama,"$71,788","7,828"
300,Our Ladies, 2021-06-18,Sony Pictures,Comedy,"$27,558","3,005"
345,Sweat, 2021-06-18,MUBI,Drama,"$11,546","1,259"
393,Crack House of the Dead, 2021-06-18,Self Distributed,Horror,"$1,816",198
255,Truman & Tennessee: An Inti…, 2021-06-17,Kino Lorber,Documentary,"$54,149","5,905"
34,The Hitman’s Wife’s Bodygua…, 2021-06-16,Lionsgate,Comedy,"$38,014,727","4,145,554"
32,Peter Rabbit 2: The Runaway, 2021-06-11,Sony Pictures,Adventure,"$40,501,717","4,416,763"
89,12 Mighty Orphans, 2021-06-11,Sony Pictures Cla…,Drama,"$3,688,723","402,259"
96,The House Next Door: Meet t…, 2021-06-11,HEFG Releasing,Comedy,"$2,893,660","315,557"
222,The Misfits, 2021-06-11,The Avenue Entert…,Thriller/Suspense,"$100,671","10,978"
226,Censor, 2021-06-11,Magnolia Pictures,Horror,"$90,050","9,820"
296,Holler, 2021-06-11,IFC Films,Drama,"$28,706","3,130"
365,Final Frequency, 2021-06-11,Integrity Releasing,Thriller/Suspense,"$7,098",774
36,In the Heights, 2021-06-10,Warner Bros.,Musical,"$29,975,167","3,268,830"
19,The Conjuring: The Devil Ma…, 2021-06-04,Warner Bros.,Horror,"$65,631,050","7,157,148"
48,Spirit Untamed, 2021-06-04,Universal,Adventure,"$17,716,215","1,931,975"
128,Witnesses, 2021-06-04,Purdie Distribution,Drama,"$855,765","93,322"
231,Undine, 2021-06-04,IFC Films,Drama,"$79,174","8,634"
273,"All Light, Everywhere", 2021-06-04,Super LTD,Documentary,"$37,266","4,063"
307,Gully, 2021-06-04,Vertical Entertai…,Drama,"$22,517","2,455"
8,A Quiet Place: Part II, 2021-05-28,Paramount Pictures,Horror,"$160,215,764","17,471,730"
17,Cruella, 2021-05-28,Walt Disney,Comedy,"$86,103,234","9,389,666"
163,Bo Gia, 2021-05-28,,Comedy,"$350,000","38,167"
333,American Traitor: The Trial…, 2021-05-28,Vertical Entertai…,Drama,"$14,000","1,526"
406,Funhouse, 2021-05-28,Magnet Releasing,Horror,$507,55
95,Dream Horse, 2021-05-21,Bleecker Street,Drama,"$2,913,328","317,702"
161,The Dry, 2021-05-21,IFC Films,Thriller/Suspense,"$364,397","39,737"
172,Final Account, 2021-05-21,Focus Features,Documentary,"$308,976","33,694"
173,New Order, 2021-05-21,Neon,Thriller/Suspense,"$304,167","33,169"
46,Spiral, 2021-05-14,Lionsgate,Horror,"$23,216,862","2,531,828"
74,Those Who Wish Me Dead, 2021-05-14,Warner Bros.,Thriller/Suspense,"$7,407,200","807,764"
98,Finding You, 2021-05-14,Roadside Attractions,Drama,"$2,753,985","300,325"
112,Profile, 2021-05-14,Focus Features,Thriller/Suspense,"$1,744,740","190,266"
191,La piscine, 2021-05-14,Rialto Pictures,Drama,"$211,467","23,060"
211,The Djinn, 2021-05-14,IFC Midnight,Horror,"$124,649","13,593"
232,Riders of Justice, 2021-05-14,Magnet Releasing,Comedy,"$77,115","8,409"
236,The Killing of Two Lovers, 2021-05-14,Neon,Drama,"$72,110","7,863"
290,The Perfect Candidate, 2021-05-14,Music Box Films,Drama,"$30,134","3,286"
361,There Is No Evil, 2021-05-14,Kino Lorber,Drama,"$8,063",879
367,Ghost Master, 2021-05-14,Indican Pictures,Horror,"$6,136",669
41,Wrath of Man, 2021-05-07,United Artists,Action,"$27,466,489","2,995,255"
97,Here Today, 2021-05-07,Sony Pictures,Comedy,"$2,807,494","306,161"
162,The Water Man, 2021-05-07,RLJ Entertainment,Drama,"$354,087","38,613"
212,Walking with Herb, 2021-05-07,Aloha Releasing,Comedy,"$120,226","13,110"
217,The Paper Tigers, 2021-05-07,Well Go USA,Action,"$112,691","12,289"
227,Mission Stories, 2021-05-07,Excel Entertainment,Drama,"$87,059","9,493"
243,Silo, 2021-05-07,Oscilloscope Pict…,Drama,"$62,873","6,856"
275,The Human Factor, 2021-05-07,Sony Pictures Cla…,Documentary,"$36,693","4,001"
281,Mainstream, 2021-05-07,IFC Films,Comedy,"$35,481","3,869"
323,Equal Standard, 2021-05-07,Mutiny Pictures,Action,"$15,938","1,738"
343,State Funeral, 2021-05-07,MUBI,Documentary,"$12,424","1,354"
391,Escape From Auschwitz, 2021-05-07,,Drama,"$2,201",240
401,The Unthinkable, 2021-05-07,Magnolia Pictures,Action,$974,106
85,Separation, 2021-04-30,Open Road,Horror,"$4,509,143","491,727"
130,Four Good Days, 2021-04-30,Vertical Entertai…,Drama,"$837,849","91,368"
187,Limbo, 2021-04-30,Focus Features,Drama,"$224,405","24,472"
194,The Resort, 2021-04-30,Vertical Entertai…,Horror,"$191,996","20,937"
262,About Endlessness, 2021-04-30,Magnolia Pictures,Drama,"$51,386","5,603"
363,Waiting for Rain (비와 당신의 이야…, 2021-04-30,Sony Pictures,Drama,"$7,334",800
28,Demon Slayer The Movie: Mug…, 2021-04-23,FUNimation,Adventure,"$47,700,000","5,201,744"
31,Mortal Kombat, 2021-04-23,Warner Bros.,Action,"$42,326,031","4,615,707"
114,Together Together, 2021-04-23,Bleecker Street,Comedy,"$1,436,324","156,632"
121,In the Earth, 2021-04-16,Neon,Horror,"$1,113,722","121,452"
201,SAS: Red Notice, 2021-04-16,Vertical Entertai…,Action,"$146,329","15,957"
215,Gunda, 2021-04-16,Neon,Documentary,"$113,591","12,387"
287,Monday, 2021-04-16,IFC Films,Drama,"$30,932","3,373"
292,Trigger Point, 2021-04-16,Screen Media Films,Action,"$29,262","3,191"
299,Jakob’s Wife, 2021-04-16,RLJ Entertainment,Horror,"$27,588","3,008"
329,We Broke Up, 2021-04-16,Vertical Entertai…,Romantic Comedy,"$15,063","1,642"
380,Bill Traylor: Chasing Ghosts, 2021-04-16,Kino Lorber,Documentary,"$4,504",491
93,Voyagers, 2021-04-09,Lionsgate,Thriller/Suspense,"$3,149,935","343,504"
205,Held, 2021-04-09,Magnolia Pictures,Horror,"$142,817","15,574"
304,Moffie, 2021-04-09,IFC Films,Drama,"$24,520","2,673"
399,Slalom, 2021-04-09,Kino Lorber,Drama,"$1,052",114
54,The Unholy, 2021-04-02,Sony Pictures,Horror,"$15,532,137","1,693,799"
92,The Girl Who Believes In Mi…, 2021-04-02,Atlas Distribution,Drama,"$3,163,362","344,968"
154,2021 Oscar Shorts, 2021-04-02,ShortsHD,Multiple Genres,"$443,050","48,315"
198,Shiva Baby, 2021-04-02,Utopia,Comedy,"$159,294","17,371"
374,Blood Brothers, 2021-04-02,Indican Pictures,Thriller/Suspense,"$5,191",566
13,Godzilla vs. Kong, 2021-03-31,Warner Bros.,Action,"$100,916,094","11,005,027"
366,The Boonies, 2021-03-31,Indican Pictures,Horror,"$6,887",751
196,Beans, 2021-03-30,Mongrel Media,Drama,"$171,208","18,670"
40,Nobody, 2021-03-26,Universal,Thriller/Suspense,"$27,568,035","3,006,329"
207,Six Minutes to Midnight, 2021-03-26,IFC Films,Thriller/Suspense,"$132,500","14,449"
271,Senior Moment, 2021-03-26,Screen Media Films,Comedy,"$41,598","4,536"
318,Mystery of the Kingdom of God, 2021-03-26,Atlas Distribution,Adventure,"$17,316","1,888"
377,Things Don’t Stay Fixed, 2021-03-26,Indican Pictures,Drama,"$4,905",534
78,The Courier, 2021-03-19,Roadside Attractions,Thriller/Suspense,"$6,613,432","721,203"
143,City of Lies, 2021-03-19,Saban Films,Drama,"$572,493","62,431"
264,Last Call, 2021-03-19,IFC Films,Comedy,"$48,144","5,250"
316,Delete History, 2021-03-19,,Comedy,"$19,390","2,114"
369,Dark State, 2021-03-19,Atlas Distribution,Thriller/Suspense,"$5,824",635
108,The Father, 2021-03-12,Sony Pictures Cla…,Drama,"$2,120,992","231,296"
124,Long Weekend, 2021-03-12,Sony Pictures,Romantic Comedy,"$1,018,532","111,072"
134,Lamb of God: The Concert Film, 2021-03-12,Purdie Distribution,Concert/Perfor…,"$744,812","81,222"
150,Jathi Ratnalu, 2021-03-12,Self Distributed,Comedy,"$460,000","50,163"
171,Dutch, 2021-03-12,Faith Media Distr…,Thriller/Suspense,"$323,167","35,241"
245,Come True, 2021-03-12,IFC Midnight,Horror,"$62,080","6,769"
332,Death of a Ladies’ Man, 2021-03-12,Mongrel Media,Drama,"$14,032","1,530"
24,Raya and the Last Dragon, 2021-03-05,Walt Disney,Adventure,"$54,723,032","5,967,615"
61,Chaos Walking, 2021-03-05,Lionsgate,Action,"$13,287,908","1,449,063"
86,Boogie, 2021-03-05,Focus Features,Drama,"$4,178,620","455,684"
145,The Truffle Hunters, 2021-03-05,Sony Pictures Cla…,Documentary,"$521,202","56,837"
252,Son, 2021-03-05,RLJ Entertainment,Horror,"$55,068","6,005"
254,My Salinger Year, 2021-03-05,IFC Films,Drama,"$54,730","5,968"
338,Stray, 2021-03-05,Magnolia Pictures,Documentary,"$13,325","1,453"
383,No Place, 2021-03-05,Indican Pictures,Action,"$4,194",457
29,Tom and Jerry, 2021-02-26,Warner Bros.,Adventure,"$46,536,687","5,074,884"
224,Safer at Home, 2021-02-26,Vertical Entertai…,Thriller/Suspense,"$95,643","10,429"
261,My Zoe, 2021-02-26,Blue Fox Entertai…,Thriller/Suspense,"$52,733","5,750"
263,The Vigil, 2021-02-26,IFC Midnight,Horror,"$50,439","5,500"
157,Crisis, 2021-02-25,Quiver,Thriller/Suspense,"$409,363","44,641"
106,Nomadland, 2021-02-19,Searchlight Pictures,Drama,"$2,180,000","237,732"
175,Blithe Spirit, 2021-02-19,IFC Films,Comedy,"$282,499","30,806"
305,The Violent Heart, 2021-02-19,Gravitas Ventures,Thriller/Suspense,"$23,614","2,575"
368,Angelique’s Isle, 2021-02-19,Indican Pictures,Thriller/Suspense,"$6,055",660
402,Elbow Grease, 2021-02-19,Self Distributed,Comedy,$917,100
80,Judas and the Black Messiah, 2021-02-12,Warner Bros.,Drama,"$5,478,009","597,384"
101,Land, 2021-02-12,Focus Features,Drama,"$2,577,830","281,116"
131,The Mauritanian, 2021-02-12,STX Entertainment,Drama,"$836,536","91,225"
135,French Exit, 2021-02-12,Sony Pictures Cla…,Comedy,"$741,895","80,904"
