Rank,Movie,Release Date,Distributor,Genre,2021 Gross,Tickets Sold
384,Jockey, 2021-12-29,Sony Pictures Cla…,Drama,"$3,858",420
62,American Underdog: The Kurt…, 2021-12-25,Lionsgate,Drama,"$12,213,600","1,331,908"
213,Parallel Mothers, 2021-12-24,Sony Pictures Cla…,Drama,"$119,728","13,056"
16,Sing 2, 2021-12-22,Universal,Adventure,"$90,247,305","9,841,581"
39,The Matrix Resurrections, 2021-12-22,Warner Bros.,Action,"$28,134,634","3,068,117"
51,The King’s Man, 2021-12-22,20th Century Studios,Action,"$16,258,724","1,773,034"
358,The Velvet Queen, 2021-12-22,Oscilloscope Pict…,Documentary,"$8,684",947
1,Spider-Man: No Way Home, 2021-12-17,Sony Pictures,Action,"$613,600,664","66,913,921"
72,Nightmare Alley, 2021-12-17,Searchlight Pictures,Thriller/Suspense,"$7,580,143","826,624"
276,Schemes in Antiques, 2021-12-17,Well Go USA,Thriller/Suspense,"$36,501","3,980"
312,The Novice, 2021-12-17,IFC Films,Thriller/Suspense,"$20,520","2,237"
314,Harper, 2021-12-15,Indican Pictures,Drama,"$20,268","2,210"
38,West Side Story, 2021-12-10,20th Century Studios,Musical,"$28,169,248","3,071,892"
87,A Journal for Jordan, 2021-12-10,Sony Pictures,Drama,"$3,905,919","425,945"
136,Red Rocket, 2021-12-10,A24,Drama,"$709,460","77,367"
149,National Champions, 2021-12-10,STX Entertainment,Drama,"$475,488","51,852"
295,France, 2021-12-10,Kino Lorber,Comedy,"$29,015","3,164"
392,Agnes, 2021-12-10,Magnet Releasing,Drama,"$2,113",230
123,True To The Game 3, 2021-12-03,Faith Media Distr…,Thriller/Suspense,"$1,038,255","113,223"
166,Benedetta, 2021-12-03,IFC Films,Drama,"$336,050","36,646"
200,Wolf, 2021-12-03,Focus Features,Drama,"$147,595","16,095"
208,Tadap, 2021-12-03,20th Century Studios,Action,"$130,934","14,278"
250,Flee, 2021-12-03,Neon,Documentary,"$56,267","6,135"
301,The Scary of Sixty First, 2021-12-03,Utopia,Horror,"$27,316","2,978"
386,Project Space 13, 2021-12-03,Circle Collective,Comedy,"$3,000",327
407,Descarrilados, 2021-12-03,Sony Pictures,Comedy,$462,50
60,Christmas with the Chosen: …, 2021-12-01,Fathom Events,Concert/Perfor…,"$13,388,000","1,459,978"
79,Licorice Pizza, 2021-11-26,United Artists,Drama,"$6,382,891","696,062"
331,Writing With Fire, 2021-11-26,Music Box Films,Documentary,"$14,150","1,543"
15,Encanto, 2021-11-24,Walt Disney,Adventure,"$90,628,329","9,883,133"
25,House of Gucci, 2021-11-24,United Artists,Drama,"$49,023,527","5,346,077"
50,Resident Evil: Welcome to R…, 2021-11-24,Sony Pictures,Horror,"$16,923,891","1,845,572"
148,For the Love of Money, 2021-11-24,Freestyle Releasing,Drama,"$480,774","52,429"
170,Drive My Car, 2021-11-24,Janus Films,Drama,"$328,721","35,847"
9,Ghostbusters: Afterlife, 2021-11-19,Sony Pictures,Comedy,"$122,378,960","13,345,579"
57,King Richard, 2021-11-19,Warner Bros.,Drama,"$14,730,278","1,606,355"
109,C’mon C’mon, 2021-11-19,A24,Drama,"$1,985,585","216,530"
168,The Battle at Lake Changjin, 2021-11-19,CMC Pictures,Action,"$333,214","36,337"
174,India Sweets and Spices, 2021-11-19,Bleecker Street,Comedy,"$288,714","31,484"
244,The First Wave, 2021-11-19,Neon,Documentary,"$62,376","6,802"
247,Kurt Vonnegut: Unstuck in Time, 2021-11-19,IFC Films,Documentary,"$60,389","6,585"
249,Bad Luck Banging or Loony Porn, 2021-11-19,Magnolia Pictures,Comedy,"$57,766","6,299"
280,Youngest Evangelist And The…, 2021-11-19,Atlas Distribution,Drama,"$35,750","3,898"
360,The Feast, 2021-11-19,IFC Midnight,Horror,"$8,316",906
388,Below the Fold, 2021-11-19,Mutiny Pictures,Thriller/Suspense,"$2,600",283
77,Belfast, 2021-11-12,Focus Features,Drama,"$6,885,925","750,919"
144,Anita, 2021-11-12,CMC Pictures,Drama,"$535,596","58,407"
158,Julia, 2021-11-12,Sony Pictures Cla…,Documentary,"$390,565","42,591"
310,What do we See When we Look…, 2021-11-12,MUBI,Drama,"$21,443","2,338"
26,Clifford the Big Red Dog, 2021-11-10,Paramount Pictures,Adventure,"$48,947,356","5,337,771"
6,Eternals, 2021-11-05,Walt Disney,Action,"$164,694,432","17,960,134"
76,Spencer, 2021-11-05,Neon,Drama,"$7,086,632","772,806"
253,Christmas Vs The Walters, 2021-11-05,Safier Entertainment,Comedy,"$54,827","5,978"
288,The Beta Test, 2021-11-05,IFC Films,Thriller/Suspense,"$30,520","3,328"
335,Hive, 2021-11-05,Zeitgeist,Drama,"$13,755","1,500"
119,CS Lewis: The Most Reluctan…, 2021-11-03,Trafalgar Releasing,Drama,"$1,205,000","131,406"
64,Antlers, 2021-10-29,Searchlight Pictures,Horror,"$10,619,670","1,158,088"
67,Last Night in Soho, 2021-10-29,Focus Features,Thriller/Suspense,"$10,127,625","1,104,430"
68,My Hero Academia: World Her…, 2021-10-29,FUNimation,Adventure,"$9,767,647","1,065,174"
178,A Mouthful of Air, 2021-10-29,Sony Pictures,Drama,"$269,435","29,382"
223,The Souvenir Part II, 2021-10-29,A24,Drama,"$98,929","10,788"
274,Heart of Champions, 2021-10-29,Vertical Entertai…,Romantic Comedy,"$37,000","4,034"
357,Only the Animals, 2021-10-29,Cohen Media Group,Drama,"$9,138",996
140,Met Opera: Fire Shut Up in …, 2021-10-23,Fathom Events,Concert/Perfor…,"$610,000","66,521"
12,Dune, 2021-10-22,Warner Bros.,Action,"$107,176,143","11,687,693"
47,Ron’s Gone Wrong, 2021-10-22,20th Century Studios,Adventure,"$23,009,270","2,509,190"
52,The French Dispatch, 2021-10-22,Searchlight Pictures,Comedy,"$15,976,770","1,742,287"
185,Becoming Cousteau, 2021-10-22,Picturehouse,Documentary,"$232,285","25,330"
324,The Laws Of The Universe — …, 2021-10-22,Entertainment Stu…,Adventure,"$15,750","1,717"
381,Labyrinth of Cinema (海辺の映画館…, 2021-10-20,Crescendo House F…,Drama,"$4,501",490
14,Halloween Kills, 2021-10-15,Universal,Horror,"$92,002,155","10,032,950"
63,The Last Duel, 2021-10-15,20th Century Studios,Drama,"$10,853,945","1,183,636"
116,Honsla Rakh, 2021-10-15,,Comedy,"$1,319,170","143,857"
202,Bergman Island, 2021-10-15,IFC Films,Drama,"$145,191","15,833"
240,Hard Luck Love Song, 2021-10-15,Roadside Attractions,Drama,"$69,496","7,578"
278,Luzzu, 2021-10-15,Kino Lorber,Drama,"$35,952","3,920"
188,Doctor, 2021-10-09,Hamsini,Action,"$220,000","23,991"
7,No Time to Die, 2021-10-08,United Artists,Action,"$160,772,007","17,532,388"
99,Lamb, 2021-10-08,A24,Drama,"$2,676,410","291,865"
133,The Rescue, 2021-10-08,Greenwich,Documentary,"$787,460","85,873"
203,Mass, 2021-10-08,Bleecker Street,Drama,"$145,175","15,831"
291,Golden Voices, 2021-10-08,Music Box Films,Romantic Comedy,"$29,945","3,265"
319,Ascension (登楼叹), 2021-10-08,MTV Documentary F…,Documentary,"$17,200","1,875"
120,God’s Not Dead: We the Peop…, 2021-10-04,Pinnacle Peak,Drama,"$1,170,387","127,632"
3,Venom: Let There be Carnage, 2021-10-01,Sony Pictures,Action,"$212,609,036","23,185,282"
22,The Addams Family 2, 2021-10-01,United Artists,Adventure,"$56,489,153","6,160,212"
70,The Many Saints of Newark, 2021-10-01,Warner Bros.,Drama,"$8,237,403","898,299"
113,Titane, 2021-10-01,Neon,Horror,"$1,442,988","157,359"
125,The Jesus Music, 2021-10-01,Lionsgate,Documentary,"$1,016,725","110,875"
270,Old Henry, 2021-10-01,Shout! Factory,Western,"$42,068","4,587"
279,Falling for Figaro, 2021-10-01,IFC Films,Romantic Comedy,"$35,910","3,916"
382,Mayday, 2021-10-01,Magnolia Pictures,Drama,"$4,382",477
56,Dear Evan Hansen, 2021-09-24,Universal,Musical,"$15,002,646","1,636,057"
177,I’m Your Man, 2021-09-24,Bleecker Street,Comedy,"$275,158","30,006"
364,El Planeta, 2021-09-24,Utopia,Comedy,"$7,181",783
387,The Village Detective: A So…, 2021-09-22,Kino Lorber,Documentary,"$2,839",309
65,Cry Macho, 2021-09-17,Warner Bros.,Drama,"$10,310,734","1,124,398"
83,CopShop, 2021-09-17,Open Road,Action,"$5,213,243","568,510"
103,The Eyes of Tammy Faye, 2021-09-17,Searchlight Pictures,Drama,"$2,404,127","262,173"
132,Blue Bayou, 2021-09-17,Focus Features,Drama,"$788,675","86,006"
233,In Balanchine’s Classroom, 2021-09-17,Zeitgeist,Documentary,"$76,650","8,358"
241,Wife of a Spy, 2021-09-17,Kino Lorber,Thriller/Suspense,"$69,464","7,575"
256,The Nowhere Inn, 2021-09-17,IFC Films,Comedy,"$54,094","5,899"
297,Prisoners of the Ghostland, 2021-09-17,RLJ Entertainment,Action,"$28,204","3,075"
328,Best Sellers, 2021-09-17,Screen Media Films,Comedy,"$15,243","1,662"
339,Storm Lake, 2021-09-17,Whole Hog Films,Documentary,"$13,028","1,420"
351,Petite fille, 2021-09-17,Music Box Films,Documentary,"$10,047","1,095"
59,Malignant, 2021-09-10,Warner Bros.,Horror,"$13,391,791","1,460,392"
100,The Card Counter, 2021-09-10,Focus Features,Thriller/Suspense,"$2,652,315","289,238"
107,After We Fell, 2021-09-10,Vertical Entertai…,Drama,"$2,170,750","236,723"
111,Show Me the Father, 2021-09-10,Sony Pictures,Documentary,"$1,803,226","196,644"
129,The Alpinist, 2021-09-10,Roadside Attractions,Documentary,"$844,743","92,120"
180,Délicieux, 2021-09-10,,Comedy,"$259,610","28,310"
218,Small Engine Repair, 2021-09-10,Vertical Entertai…,Drama,"$110,995","12,104"
234,Language Lessons, 2021-09-10,Shout! Factory,Drama,"$73,257","7,988"
257,Azor, 2021-09-10,MUBI,Drama,"$53,932","5,881"
309,Dating & New York, 2021-09-10,IFC Films,Romantic Comedy,"$21,515","2,346"
2,Shang-Chi and the Legend of…, 2021-09-03,Walt Disney,Action,"$224,543,292","24,486,728"
221,Tango Shalom, 2021-09-03,Vision Films,Comedy,"$102,651","11,194"
265,Who You Think I Am, 2021-09-03,Cohen Media Group,Drama,"$45,265","4,936"
286,Yakuza Princess, 2021-09-03,Magnolia Pictures,Thriller/Suspense,"$32,124","3,503"
336,We Need to Do Something, 2021-09-03,IFC Midnight,Horror,"$13,589","1,481"
344,The Year of the Everlasting…, 2021-09-03,Neon,Multiple Genres,"$12,245","1,335"
20,Candyman, 2021-08-27,Universal,Horror,"$61,186,570","6,672,472"
127,A Rescue of Little Eggs, 2021-08-27,Lionsgate,Comedy,"$927,154","101,107"
190,Together, 2021-08-27,Bleecker Street,Comedy,"$214,390","23,379"
33,PAW Patrol: The Movie, 2021-08-20,Paramount Pictures,Adventure,"$40,127,371","4,375,940"
73,The Protégé, 2021-08-20,Lionsgate,Action,"$7,446,823","812,085"
75,The Night House, 2021-08-20,Searchlight Pictures,Horror,"$7,100,581","774,327"
88,Reminiscence, 2021-08-20,Warner Bros.,Thriller/Suspense,"$3,900,193","425,321"
155,Flag Day, 2021-08-20,United Artists,Drama,"$424,667","46,310"
228,On Broadway, 2021-08-20,Kino Lorber,Documentary,"$82,733","9,022"
239,Demonic, 2021-08-20,IFC Midnight,Horror,"$71,334","7,779"
268,Death Rider in the House of…, 2021-08-20,Atlas Distribution,Horror,"$44,736","4,878"
282,Cryptozoo, 2021-08-20,Magnolia Pictures,Adventure,"$33,765","3,682"
283,Confetti, 2021-08-20,Dada Films,Drama,"$33,500","3,653"
298,"Ma Belle, My Beauty", 2021-08-20,Good Deed Enterta…,Drama,"$27,744","3,025"
10,Free Guy, 2021-08-13,20th Century Studios,Action,"$121,626,598","13,263,533"
35,Don’t Breathe 2, 2021-08-13,Sony Pictures,Horror,"$32,638,038","3,559,219"
44,Respect, 2021-08-13,United Artists,Drama,"$24,278,399","2,647,589"
153,The Lost Leonardo, 2021-08-13,Sony Pictures Cla…,Documentary,"$445,740","48,608"
159,Raging Fire, 2021-08-13,Well Go USA,Action,"$385,305","42,017"
258,Ema, 2021-08-13,Music Box Films,Drama,"$53,437","5,827"
341,The Meaning of Hitler, 2021-08-13,IFC Films,Documentary,"$12,804","1,396"
362,White as Snow, 2021-08-13,Dada Films,Comedy,"$7,881",859
408,The East, 2021-08-13,Magnolia Pictures,Drama,$180,19
23,The Suicide Squad, 2021-08-06,Warner Bros.,Action,"$55,817,425","6,086,960"
165,Escape From Mogadishu, 2021-08-06,Well Go USA,Action,"$342,598","37,360"
210,Swan Song, 2021-08-06,Magnolia Pictures,Drama,"$126,110","13,752"
303,John and the Hole, 2021-08-06,IFC Films,Thriller/Suspense,"$25,386","2,768"
325,Even in Dreams, 2021-08-06,Purdie Distribution,Drama,"$15,671","1,708"
337,Bring Your Own Brigade, 2021-08-06,Paramount Pictures,Documentary,"$13,375","1,459"
385,Naked Singularity, 2021-08-06,Screen Media Films,Drama,"$3,050",332
11,Jungle Cruise, 2021-07-30,Walt Disney,Adventure,"$116,987,516","12,757,635"
49,The Green Knight, 2021-07-30,A24,Adventure,"$17,173,321","1,872,772"
137,Nine Days, 2021-07-30,Sony Pictures Cla…,Drama,"$694,849","75,774"
321,Never Gonna Snow Again, 2021-07-30,Kino Lorber,Comedy,"$16,049","1,750"
342,Lorelei, 2021-07-30,Vertical Entertai…,Drama,"$12,642","1,378"
348,Sabaya, 2021-07-30,Self Distributed,Documentary,"$10,450","1,139"
359,Enemies of the State, 2021-07-30,IFC Films,Documentary,"$8,495",926
27,Old, 2021-07-23,Universal,Thriller/Suspense,"$48,276,510","5,264,614"
37,Snake Eyes: G.I. Joe Origins, 2021-07-23,Paramount Pictures,Action,"$28,264,325","3,082,260"
115,Joe Bell, 2021-07-23,Roadside Attractions,Drama,"$1,405,488","153,270"
192,Ailey, 2021-07-23,Neon,Documentary,"$204,512","22,302"
235,CatVideoFest, 2021-07-23,Oscilloscope Pict…,Documentary,"$73,015","7,962"
251,Without Getting Killed or C…, 2021-07-23,Good Deed Enterta…,Documentary,"$55,333","6,034"
289,The Hidden Life of Trees, 2021-07-23,,Documentary,"$30,239","3,297"
293,Settlers, 2021-07-23,IFC Midnight,Western,"$29,183","3,182"
315,Mandibles, 2021-07-23,Magnolia Pictures,Comedy,"$19,913","2,171"
334,Secret Agent Dingledorf and…, 2021-07-23,Atlas Distribution,Comedy,"$13,760","1,500"
355,All the Streets are Silent:…, 2021-07-23,Greenwich,Documentary,"$9,500","1,035"
370,Here After, 2021-07-23,Vertical Entertai…,Comedy,"$5,612",611
375,Victim of Love, 2021-07-23,Indican Pictures,Horror,"$5,016",547
182,Once I Was Engaged, 2021-07-21,Purdie Distribution,Comedy,"$254,775","27,783"
320,How It Ends, 2021-07-20,United Artists,Comedy,"$16,104","1,756"
18,Space Jam: A New Legacy, 2021-07-16,Warner Bros.,Comedy,"$70,592,228","7,698,171"
43,Escape Room: Tournament of …, 2021-07-16,Sony Pictures,Horror,"$25,314,753","2,760,606"
81,Roadrunner: A Film About An…, 2021-07-16,Focus Features,Documentary,"$5,354,970","583,966"
91,Pig, 2021-07-16,Neon,Drama,"$3,186,667","347,510"
294,Mama Weed, 2021-07-16,Music Box Films,Comedy,"$29,151","3,178"
326,No Ordinary Man, 2021-07-16,Oscilloscope Pict…,Documentary,"$15,508","1,691"
353,Can You Bring It: Bill T. J…, 2021-07-16,Kino Lorber,Documentary,"$9,723","1,060"
372,Rock Paper Scissors, 2021-07-16,Indican Pictures,Comedy,"$5,497",599
352,"Casanova, Last Love", 2021-07-14,Dada Films,Drama,"$9,927","1,082"
4,Black Widow, 2021-07-09,Walt Disney,Action,"$183,651,655","20,027,443"
220,The Loneliest Whale: The Se…, 2021-07-09,Bleecker Street,Documentary,"$107,799","11,755"
237,Summertime, 2021-07-09,Good Deed Enterta…,Drama,"$72,012","7,852"
379,Scales, 2021-07-09,Variance Films,Drama,"$4,617",503
21,The Boss Baby: Family Business, 2021-07-02,Universal,Adventure,"$57,300,280","6,248,667"
30,The Forever Purge, 2021-07-02,Universal,Horror,"$44,539,245","4,857,061"
104,"Summer of Soul (…Or, When t…", 2021-07-02,Searchlight Pictures,Documentary,"$2,320,649","253,069"
285,The God Committee, 2021-07-02,Vertical Entertai…,Thriller/Suspense,"$32,934","3,591"
322,First Date, 2021-07-02,Magnolia Pictures,Comedy,"$15,974","1,741"
