Rank,Movie,Release Date,Distributor,Genre,2020 Gross,Tickets Sold
1,Bad Boys For Life, 2020-01-17,Sony Pictures,Action,"$204,417,855","22,292,023"
2,1917, 2019-12-25,Universal,Thriller/Suspense,"$157,901,466","17,219,352"
3,Sonic The Hedgehog, 2020-02-14,Paramount Pictures,Adventure,"$146,066,470","15,928,731"
4,Jumanji: The Next Level, 2019-12-13,Sony Pictures,Adventure,"$124,736,710","13,602,694"
5,Star Wars: The Rise of Skyw…, 2019-12-20,Walt Disney,Adventure,"$124,496,308","13,576,478"
6,Birds of Prey (And the Fant…, 2020-02-07,Warner Bros.,Action,"$84,158,461","9,177,585"
7,Dolittle, 2020-01-17,Universal,Adventure,"$77,047,065","8,402,079"
8,The Invisible Man, 2020-02-28,Universal,Horror,"$64,914,050","7,078,958"
9,The Call of the Wild, 2020-02-21,20th Century Studios,Adventure,"$62,342,368","6,798,513"
10,Onward, 2020-03-06,Walt Disney,Adventure,"$61,555,145","6,712,665"
11,Tenet, 2020-09-03,Warner Bros.,Action,"$58,044,165","6,329,788"
12,Halloween, 1978-10-17,Compass Internati…,Horror,"$47,274,000","5,155,288"
13,Little Women, 2019-12-25,Sony Pictures,Drama,"$37,593,127","4,099,577"
14,The Gentlemen, 2020-01-24,STX Entertainment,Action,"$36,471,796","3,977,295"
15,Just Mercy, 2020-01-10,Warner Bros.,Drama,"$35,733,621","3,896,796"
16,Knives Out, 2019-11-27,Lionsgate,Drama,"$35,244,610","3,843,468"
17,The Croods: A New Age, 2020-11-25,Universal,Adventure,"$32,334,280","3,526,093"
18,Parasite, 2019-10-11,Neon,Black Comedy,"$29,518,856","3,219,068"
19,Frozen II, 2019-11-22,Walt Disney,Adventure,"$26,934,045","2,937,191"
20,Fantasy Island, 2020-02-14,Sony Pictures,Horror,"$26,441,782","2,883,509"
21,The New Mutants, 2020-08-28,20th Century Studios,Horror,"$23,855,569","2,601,479"
22,Wonder Woman 1984, 2020-12-25,Warner Bros.,Action,"$23,009,311","2,509,194"
23,Like a Boss, 2020-01-10,Paramount Pictures,Comedy,"$22,169,514","2,417,613"
